"team_id","franchiseId","shortName","teamName","abbreviation","link"
"1","23","New Jersey","Devils","NJD","/api/v1/teams/1"
"4","16","Philadelphia","Flyers","PHI","/api/v1/teams/4"
"26","14","Los Angeles","Kings","LAK","/api/v1/teams/26"
"14","31","Tampa Bay","Lightning","TBL","/api/v1/teams/14"
"6","6","Boston","Bruins","BOS","/api/v1/teams/6"
"3","10","NY Rangers","Rangers","NYR","/api/v1/teams/3"
"5","17","Pittsburgh","Penguins","PIT","/api/v1/teams/5"
"17","12","Detroit","Red Wings","DET","/api/v1/teams/17"
"28","29","San Jose","Sharks","SJS","/api/v1/teams/28"
"18","34","Nashville","Predators","NSH","/api/v1/teams/18"
"23","20","Vancouver","Canucks","VAN","/api/v1/teams/23"
"16","11","Chicago","Blackhawks","CHI","/api/v1/teams/16"
"9","30","Ottawa","Senators","OTT","/api/v1/teams/9"
"8","1","Montreal","Canadiens","MTL","/api/v1/teams/8"
"30","37","Minnesota","Wild","MIN","/api/v1/teams/30"
"15","24","Washington","Capitals","WSH","/api/v1/teams/15"
"19","18","St Louis","Blues","STL","/api/v1/teams/19"
"24","32","Anaheim","Ducks","ANA","/api/v1/teams/24"
"27","28","Phoenix","Coyotes","PHX","/api/v1/teams/27"
"2","22","NY Islanders","Islanders","NYI","/api/v1/teams/2"
